# 联通云智能汽车解决方案

## 公司概况
中国联通旗下联通智网科技专注车联网与智能网联汽车领域，依托5G网络、算网一体化与联通云能力，提供车联网连接管理（MNO）、车路云一体化基础设施与汽车工厂无人化物流方案，累计连接车辆超9300万，已与国内90家车企建立合作。

## 智能汽车核心方案

### 1. 车联网连接管理服务（MNO）
- 为车企提供4G/5G MNO量产连接服务，支持多IDC与公有云互联，覆盖数百万车辆。
- 提供VoLTE+语音白名单、IMS短信、IPv4/IPv6双栈接入、SIM卡生命周期管理、端到端测试、信息安全与合规审核、CDR业务分析与反欺诈检测等全栈服务。
- 支持24个汽车品牌出海，覆盖68个国家与地区。

### 2. 车路云一体化解决方案
- 牵头发布《面向智能网联汽车的车路云一体化解决方案3.0》，基于5G Uu、MEC与C-V2X PC5融合的“云-管-端”架构，参与编制《车路云一体化网络建设部署指南》等行业文件。
- 研发车联网算网一体化调度平台与面向车路云一体化的云控基础平台，实现“端边云算网”资源管理与“车路云网图”高效协同。
- 构建统一安全认证、数据共享、安全态势感知三位一体安全平台，提供5G与C-V2X终端统一安全认证。

### 3. 5G+MEC+C-V2X融合最小闭环
- 提出前端式最小闭环理念，将UPF与边缘云下沉至基站与路口最近位置，实现车、路、云三者时延可控的联动（车内闭环50-100毫秒），为L3+自动驾驶提供基础设施支撑。

### 4. 汽车工厂无人驳运系统
- 面向汽车生产“最后一公里”，以“5G+AI+云控驾驶”融合研发无人驾驶驳运系统，云端调度实现车位分配、过点、泊车入库、发车出库到发运中心全流程无人化。
- 为某汽车央企智能工厂样板提供方案，预估生产端提升10%物流效率，降低30%电力与算力成本，远期降低50%驳运综合成本。

## 竞争优势
- 运营商原生5G网络与算网一体调度能力，覆盖全国8大枢纽节点算力基础设施、两个万卡智算集群与超230城骨干云池，支撑自动驾驶高算力需求。
- 车联网连接规模领先（累计超9300万辆），具备跨国多网络、多法规的MNO运营经验。
- 联通智网科技深耕汽车行业十余年，车路云一体化方案从标准编制到试点示范体系完整。
- 网络安全现代产业链“链长”，提供端到端车联网数据安全专网与网络安全产品。

## 主要客户案例
- 某国际品牌车企：提供5G SA MNO量产项目，实现OEM多IDC与多公有云连接，为数百万车辆提供连接管理与合规服务。
- 某汽车央企智能工厂：部署无人驾驶驳运系统，提升物流效率并显著降低驳运综合成本。
- 长安汽车等行业头部企业：中国联通已服务支撑长安汽车等上云，落地智能制造与车联网相关场景。
- 全国20多个城市：开展车路云一体化、车路城融合多维试点示范项目。

## 核心劣势（中国市场）
- 汽车制造与研发核心系统（MES、PLM、研发仿真）并非联通强项，主要聚焦车联网连接与车路云基础设施，对整车数字化主航道渗透有限。
- 相比华为车BU（整车ICT与智驾）、百度Apollo、德赛西威等，在自动驾驶算法与车载软件栈布局较浅，价值偏网络与连接层。
- 车路云一体化仍多处于试点示范阶段，规模化商业闭环与可持续盈利模式尚不成熟。
- 在三大运营商中，车联网连接先发卡位略逊于中国移动（连接规模更大），品牌在车企研发侧认知度偏弱。
